Name,Creator,Image,Description,Difficulty,Time,Paper Shape,Sheets,Image_GitHub
Martian,John Montroll,https://origami-database.com/wp-content/uploads/DSC03780-export-900x900.jpg,"Abstract humanoid figure with large, wide head.",Intermediate,20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03780-export-900x900.jpg
Phoenix,John Montroll,https://origami-database.com/wp-content/uploads/DSC03782-export-900x868.jpg,"Mythical bird with long neck, large feather on its head and fanned tail.",Intermediate,38 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03782-export-900x868.jpg
Ogre,John Montroll,https://origami-database.com/wp-content/uploads/DSC03784-export-900x900.jpg,"Humanoid figure with large head, chest and arms.",Intermediate,29 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03784-export-900x900.jpg
Winged Wolf,John Montroll,https://origami-database.com/wp-content/uploads/DSC03778-export-900x900.jpg,Standing wolf with large wings.,Intermediate,27 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03778-export-900x900.jpg
Cube,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03773-export.jpg,Cube with one fully open edge.,Moderate,19 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03773-export.jpg
Lady Godiva,Tsuruta Yoshimasa,https://origami-database.com/wp-content/uploads/DSC03718-export-900x900.jpg,Three-dimentional reverse-colored woman atop a horse.,Hard,2 hours,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03718-export-900x900.jpg
Fivefold Rose,John Szinger,https://origami-database.com/wp-content/uploads/DSC03708-export-scaled.jpg,Five-sided flower.,Intermediate,1 hour,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03708-export-scaled.jpg
Grim Reaper,Chuya Miyamoto,https://origami-database.com/wp-content/uploads/DSC03699-export-900x900.jpg,"Humanoid skeleton in tattered robes carrying a large scythe, with reverse-colored skull face, hands and feet.",Complex,7 hours 34 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03699-export-900x900.jpg
Spinosaurus,Hisao Fukui,https://origami-database.com/wp-content/uploads/DSC03698-export-3000x3000.jpg,Standing dinosaur with small reverse-colored sail on its back and dewclaws on its legs.,Hard,1 hour 33 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03698-export-3000x3000.jpg
Samurai Helmet Beetle,Jun Maekawa,https://origami-database.com/wp-content/uploads/DSC03703-export-900x900.jpg,Distinctively shaped beetle with reverse-colored wings posed as if in flight.,Hard,2 hours 25 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03703-export-900x900.jpg
Slowpoke,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC03691-export-900x900.jpg,"Three-dimentional Pokémon with reverse-colored eyes, toes and mouth, featuring two large incisors.",Moderate,50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03691-export-900x900.jpg
Giant Panda,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03688-export-900x900.jpg,Standing panda bear with distinctive color changes.,Intermediate,45 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03688-export-900x900.jpg
Winged Unicorn,John Montroll,https://origami-database.com/wp-content/uploads/DSC03687-export-900x900.jpg,"Winged unicorn with a large, reverse-colored horn.",Intermediate,53 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03687-export-900x900.jpg
Biplane,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03680-export-900x900.jpg,Three-dimentional airplane with stacked wings and two wheels.,Hard,2 hours,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03680-export-900x900.jpg
